type,filename,ela_std,ela_mean,ela_max,log_hf_ratio,tail_60,tail_70,tail_80,tail_85,tail_90,spectral_slope,red_mean,red_std,red_skew,red_kurtosis,green_mean,green_std,green_skew,green_kurtosis,blue_mean,blue_std,blue_skew,blue_kurtosis,rg_corr,rb_corr,gb_corr,noise_std,noise_mean,noise_max,wavelet_cH_std,wavelet_cV_std,wavelet_cD_std,wavelet_cH_energy,wavelet_detail_ratio,wavelet_cH_mean,wavelet_cV_mean,lbp_entropy,lbp_uniformity,lbp_mean,lbp_std,gradient_mean,gradient_std,gradient_max,gradient_skew,gradient_kurtosis,edge_density
REAL,real_00421.jpg,0.7436568627347263,1.017296296296296,8.666666666666666,-4.363456901330698,-7.7605666532117334,-4.398618734550702,-2.9788520327090873,-2.650939547503381,-2.6040180946276426,-4.564952043909926,116.75464444444444,60.23405529530637,0.228373550897045,-0.9913661061194436,99.89403055555556,49.922294462151214,0.03615298379937386,-0.9897082608432819,74.95680833333333,40.017738615823546,0.593797527059997,0.37857810669620173,0.883977905097974,0.8538876716751025,0.9449948766852085,104.28841641928632,57.57284444444444,255.0,1.5552300565057413,1.6556923230013805,0.6499297391879733,222066.46722707932,4.6645636322264e-05,1.1111866905565382,1.1565446013344975,2.7039121193849596,0.1252223676388889,16.261230555555557,7.817849252203414,3.060639052929175,3.412071459281056,63.955062348495915,4.173284569906688,31.058181213861644,0.09828055555555555
REAL,real_00422.jpg,2.502823534614133,3.4496037037037035,34.333333333333336,-2.923675758939856,-7.018828235436168,-7.592297904368889,-7.048353326221952,-6.767824244092119,-5.457404837894341,-4.174732913155755,126.70066111111112,75.40957172230002,-0.11670552252042725,-1.219301716668121,84.19735555555556,62.14696837789007,0.41537412287316233,-0.6732232990220872,55.56422222222222,59.75533809679039,1.0282174313659302,0.052070857793953707,0.9399968111119618,0.7371473504327377,0.8639663694575531,113.68660943148424,111.88128055555555,255.0,16.788707504132137,15.889686357823688,8.439425751274607,25877427.030518733,0.005567271663948302,10.122202037823653,9.172169645135552,2.3637377663993537,0.21505095030864202,18.03168888888889,8.727109183642078,16.845192326342787,17.92029747132409,149.33519344079613,1.867866081637207,4.125251851866796,0.09999722222222222
REAL,real_00423.jpg,1.8188267780217757,2.6532749999999994,24.0,-3.104299160370338,-5.890609123816346,-6.143734255312678,-7.129489831475835,-5.879250606535249,-4.7051279092795,-3.413795456041755,116.24440555555556,54.303700501408144,0.21105908019183414,-0.3116357670897232,59.800980555555554,57.29022051153874,1.3549082872889728,1.597896898192273,48.284758333333336,55.50588546293925,1.9123556036586598,3.0677503314929453,0.6395849892721651,0.6084601725186903,0.9634026330827378,117.85181382522786,96.12912222222222,255.0,6.70400703724851,8.766097069385678,4.138170316858967,4126264.7390499073,0.0013336082335240298,4.208761745694303,4.758170282955369,2.213893048285259,0.26234103374999995,18.566475,8.694153077847298,7.502207697951155,8.175652356990115,113.49559462816167,3.0795611329424277,15.160403684215929,0.0996361111111111
REAL,real_00424.jpg,1.4112104716400853,1.6321398148148143,18.0,-3.729016125486781,-8.032034989231889,-6.481482756954344,-4.304906308691175,-3.37337029862176,-1.8555852942660356,-5.857525823030971,129.46005833333334,66.32959490467901,-0.060168030240145394,-1.0436011180495652,90.23412777777777,60.199344918596225,0.5216330895982791,-0.7218740304419926,73.21899722222223,57.90093598068067,0.795277541068382,-0.46708122157337284,0.96396430028036,0.9272808552161035,0.983882621495723,112.41307165971503,79.28983333333333,255.0,9.519028127400073,7.947666954778776,2.685153256186638,8318988.371805306,0.0016446488777041959,3.997285312194973,3.6164201282916615,2.615734158653016,0.15124744709876542,16.836066666666667,8.281444672412068,7.445984130931886,12.27990223064226,143.60797331624732,3.552526549837765,15.41039543701945,0.0998861111111111
REAL,real_00425.jpg,2.1043682634386656,2.209760185185185,31.333333333333332,-3.4294940241526746,-5.371872177587138,-5.046391133498319,-4.185786155132652,-3.0065038074669492,-1.9264825190052097,-3.666509866478292,124.17878333333333,72.05358243748383,0.07012583080769359,-1.0862119446070633,121.51692777777778,67.72309287011915,-0.36687446452076766,-1.4802465162023881,111.30288055555556,66.62771874404625,-0.1067990118631741,-1.60573729665745,0.7487740832558133,0.5753190742064366,0.9702937115508466,110.01707457124455,73.00372777777778,255.0,5.658331302713772,7.359823022333031,3.676603677625688,2939423.2262696917,0.0004238136282326768,3.1301438430520494,3.837662983337131,2.3551008657103925,0.22577151304012347,18.402119444444445,8.324220514535995,6.398782491140734,8.893570632951256,108.54146673046205,2.823096550926983,11.203725318951351,0.1
REAL,real_00426.jpg,1.521212100530724,2.1622037037037036,21.0,-3.447858973987317,-5.879845400018028,-6.745903202877972,-5.664909108593103,-5.693823400465097,-5.783267888660929,-3.6726538200346615,97.70778333333334,60.135458512684785,0.18488763450336937,-1.1439363824295845,76.88066388888889,43.63574599267244,0.30504259442443077,-0.7082146026274132,73.22653055555556,39.4969227776975,0.5376517814905595,-0.25546108700772585,0.9208861619296134,0.7461117927666537,0.938897746657714,117.0587982771779,89.52751388888889,255.0,5.257513680764983,4.8963626217876595,2.747677408641459,2537734.1731420862,0.0007698365176083467,3.0844830325251382,2.961186387175928,2.4803413641564487,0.18620301317901236,17.4173,8.354996485071407,6.1548201177260955,6.886045300024515,99.41453616046297,3.4017621725507023,20.103450891685455,0.09952222222222222
REAL,real_00427.jpg,1.323571974027571,1.9248490740740736,16.333333333333332,-3.5193064746356413,-7.232556281618197,-6.370008816153339,-4.957552544596219,-4.495389758872956,-4.227127661615327,-4.063717900935816,135.78419444444444,63.58475490036878,-0.14342365913093894,-1.265245400026526,101.16891944444444,42.67104810965913,-0.07382208620762043,-0.5336336844637244,80.72466111111112,42.453351191456655,0.3408096324276762,-0.6208598675354509,0.7092502820966845,0.5366772145445419,0.941452641889265,116.42526505495083,84.65046666666667,255.0,4.552428933900531,5.782463122522299,2.4125008636925616,1902706.266386774,0.0003716849341438846,3.049026113056778,3.1300479934902894,2.143099298741006,0.2885295306018519,18.942936111111113,8.477875247524281,4.885041937223812,5.781801189403423,122.56120919769027,4.470272461033412,30.405904516600295,0.09955
REAL,real_00428.jpg,2.1595699453980086,3.0314749999999995,26.0,-2.821819171671554,-5.08999698806872,-5.521685822167524,-5.498218067968922,-4.948704889915342,-4.544980575900892,-2.919105075086301,109.199725,82.85728179246219,0.28073339766754796,-1.291614172184389,85.24965555555555,64.5876596391225,0.28485572621354255,-1.3426095866013692,80.22895555555556,63.57021504183144,0.7844551961500057,-0.4676736657049392,0.9317351393616234,0.7477369512668547,0.9336121243763162,117.90822479331378,114.62242222222223,255.0,12.954067080190942,14.581645293525927,8.405307793948928,15406281.62927367,0.0032178094792644912,8.182323610985323,8.980371838774753,1.987954540866269,0.32117590353395065,19.409897222222224,8.750400520388455,12.308063979879876,12.627761082475091,131.4277367985921,1.9284321278925411,4.910378363295089,0.09999722222222222
REAL,real_00429.jpg,0.600597430476116,0.7213092592592594,7.333333333333333,-4.233172239079089,-7.471983338984442,-1.918724907821665,-0.6081834487158991,-0.5050793508150195,-0.8942201100511996,-4.728742116122336,149.28648333333334,51.479351681251245,-0.10842373969276864,-0.5299661046428401,144.4599,42.674494370382156,-0.9040047426676617,0.34325351058553233,150.13976944444445,38.62194051963728,-0.5502681116228257,-0.47603542346482186,0.7063237718077434,0.5086994598854374,0.9557089389131045,89.75374614550859,39.81876944444444,255.0,1.0434071969328245,1.0821642077342748,0.35410821156601724,99955.18905192708,1.1705679073124246e-05,0.5445186781904677,0.6386548712444992,2.857498114835615,0.08292614192901235,15.260152777777778,7.012952776350747,2.6402962798754417,4.113916608298163,58.86000339789321,4.468232820397034,27.870381727468576,0.09971666666666666
REAL,real_00430.jpg,1.3507840502239823,1.4720166666666663,14.0,-3.7956708075693864,-7.364582007634322,-5.814457455159306,-4.515259996443531,-3.8941985843422255,-3.2919689530294347,-4.6720263155629915,144.1692138888889,59.61912507738721,-0.9143176925561718,-0.41003159051988236,125.32969166666666,60.55937812102211,-0.3414429132029431,-1.1476720084372916,112.58658333333334,61.72809870709655,-0.07885680690681475,-1.3159832330801853,0.9419976653421702,0.8693688590732328,0.982203144070658,106.64202553845445,64.823325,255.0,5.106912570002026,4.4101316837575,2.050715859504646,2394430.5283714742,0.0003192309840253415,2.6660165853529287,2.363616685451238,2.4577779797740336,0.19764145158950616,18.051547222222222,8.275066035016348,5.007793259491652,7.285662699833526,80.51397394241573,3.0194175376879477,12.045347388235806,0.0999638888888889
REAL,real_00431.jpg,1.4046669334358346,1.9921824074074077,17.0,-3.745749536816605,-8.235617595435071,-6.033751661261928,-5.084730223823741,-4.276839894249044,-3.3665943703112244,-5.335476761365582,111.40986111111111,77.63584415205989,-0.08882181831534151,-1.6163682559099004,87.39486944444444,75.04870039447468,0.32780182916020223,-1.5909627494915415,74.13797777777778,77.20096146436086,0.5127849971686217,-1.4726065835279472,0.9467370962319985,0.8876141721591806,0.986708370048691,118.45265994321637,94.741125,255.0,4.7671369669574615,5.658957856367275,1.827126351503331,2086418.3805292235,0.00040461564771005344,3.0175677359859483,3.6400516389348625,2.1528393496249194,0.27274263558641976,18.68379722222222,8.996169661645082,6.245835763780713,6.779209653679733,100.82286447031744,3.029794076350609,13.500432826211082,0.0998
REAL,real_00432.jpg,0.8071383071011582,0.9989000000000001,12.333333333333334,-4.431718141829094,-8.386964863069888,-3.379128232281106,-0.836754644689895,-0.3134501202082615,-1.1954547785265044,-5.4967660892673464,163.24646944444444,64.97059830784708,-0.657307034604796,-0.7529425648081758,142.41045,63.608579459043895,-0.38606935193675235,-0.9539880507032463,134.199725,64.38937249639828,-0.300495037968905,-1.0132151956176778,0.9660753661887466,0.9405893378363197,0.9937749490773881,109.34781784582773,70.03878888888889,255.0,1.769760664378523,2.862018908319847,0.5608845904738062,287551.2985192189,3.049104341992057e-05,1.043374505222713,1.4632502989108178,2.8532951500854744,0.08255929773148149,14.920605555555555,6.997573140419804,5.869234296736034,7.201553450704288,109.57303500405563,3.000082331246815,14.62652630122729,0.09997777777777778
REAL,real_00433.jpg,1.6033596048682115,2.0975250000000005,16.666666666666668,-3.065628878666044,-7.379804265703885,-8.205249804150398,-8.637320217692654,-9.269341262683128,-9.599846524760927,-4.017326650041164,92.75008888888888,75.70289048490736,0.6077785694872689,-0.9525338527404554,72.36834166666667,55.7208679189298,0.7818648987073995,-0.5603896535419168,60.39277777777778,46.929094482534154,1.0824828825412633,0.27347260736986945,0.9479491700923173,0.8621694748074804,0.9713788972519286,117.43628376070308,100.19839166666667,255.0,10.19261104118371,12.77322458200712,5.972513614073822,9537994.734748395,0.00276020423840992,5.001490470794319,5.64683899473477,2.4126731519047313,0.2086018202623457,17.775366666666667,8.697591996191948,9.50609506907461,13.209773617958612,159.46237800810573,3.538584260346031,17.073834179853247,0.09994722222222223
